pmid,title,abstract,journal,year
40155777,Plasma p-tau217 and tau-PET predict future cognitive decline among cognitively unimpaired individuals: implications for clinical trials.,"Plasma p-tau217 and tau positron emission tomography (PET) are strong prognostic biomarkers in Alzheimer's disease (AD), but their relative performance in predicting future cognitive decline among cognitively unimpaired (CU) individuals is unclear. In a head-to-head comparison study including nine cohorts and 1,474 individuals, we show that plasma p-tau217 and medial temporal lobe tau-PET signal display similar associations with cognitive decline on a global cognitive composite test (R<sup>2</sup><sub>PET</sub> = 0.34 versus R<sup>2</sup><sub>plasma</sub> = 0.33, P<sub>difference</sub> = 0.653) and with progression to mild cognitive impairment (hazard ratio (HR)<sub>PET</sub> = 1.61 (1.48-1.76) versus HR<sub>plasma</sub> = 1.57 (1.43-1.72), P<sub>difference</sub> = 0.322). Combined plasma and PET models were superior to the single-biomarker models (R<sup>2</sup> = 0.35, P &lt; 0.01). Sequential selection using plasma phosphorylated tau at threonine 217 (p-tau217) and then tau-PET reduced the number of participants required for a clinical trial by 94%, compared to a 76% reduction when using plasma p-tau217 alone. Thus, plasma p-tau217 and tau-PET showed similar performance for predicting future cognitive decline in CU individuals, and their sequential use enhances screening efficiency for preclinical AD trials.",Nat Aging,2025
40166019,"Rapamycin enhances neurovascular, peripheral metabolic, and immune function in cognitively normal, middle-aged APOE4 Carriers: genotype-dependent effects compared to non-carriers.","Rapamycin, known for its anti-aging properties, shows promise as a preventive strategy for Alzheimer's disease (AD) in APOE4 carriers-the highest-risk group for late-onset AD. Here we show that a 4-week open-label trial of low-dose Rapamycin (Sirolimus; 1 mg/day) significantly improved cerebral blood flow (CBF) relative to baseline in cognitively normal APOE4 carriers (E4(+)) aged 45-65. It also reduced inflammatory cytokines, enhanced lipid metabolism, increased short-chain fatty acids (SCFA) and enriched gut microbiome composition linked to SCFA production. Conversely, non-carriers (E4(-)) displayed stable baseline-to-post-treatment CBF and SCFA and demonstrated different treatment-related patterns of metabolic and anti-inflammatory effects than E4(+). Serum amyloid A and tau remained unchanged for both groups. These findings suggest Rapamycin may counter early vascular and metabolic deficits in E4(+) individuals, with genotype-specific effects. By bridging anti-aging research and AD prevention, this study highlights a novel, safe, and precision-based approach to mitigating AD risk in APOE4 carriers.",Res Sq,2025
39822295,"Plasma biomarkers of amyloid, tau, astrogliosis, and axonal injury in a mixed memory clinic cohort.","INTRODUCTION: Studies have shown that blood biomarkers can differentiate dementia disorders. However, the diagnosis of dementia still relies primarily on cerebrospinal fluid and imaging modalities. The new disease-modifying treatments call for more widely applicable biomarkers.
METHODS: Plasma samples (n = 250) from two mixed memory clinic were included. Participants were divided into amyloid beta positives (Aβ+) and Aβ negatives (Aβ-). Plasma phosphorylated tau (p-tau) 181, p-tau231, Aβ1-42 (Aβ42), Aβ40, Aβ42/Aβ40, glial fibrillary acidic protein (GFAP), and neurofilament light chain (NfL) were measured by single molecule array.
RESULTS: Significant differences were found among cognitively unimpaired, mild cognitive impairment, Alzheimer's disease (AD), and non-AD, and nearly all of the biomarkers were able to predict amyloid status. When combining p-tau181 and p-tau231 they predicted Aβ positivity with an area under the curve (AUC) of 0.75, and when combining all biomarkers an AUC of 0.86 was found.
DISCUSSION: This study supports previous findings on plasma biomarkers, even when investigated in a typical clinical setting in a consecutive, heterogeneous, mixed memory clinic.
HIGHLIGHTS: This study investigated seven plasma biomarkers in a mixed memory clinic, regardless of amyloid co-pathology or atypical phenotypes.These findings support previous promising results on plasma biomarkers, even when investigated in a heterogeneous population.The combination of phosphorylated tau (p-tau)181 and p-231 performed only slightly worse than a panel of multiple biomarkers, aligning with previous studies.Plasma biomarkers show potential for future applications in primary care, treatment monitoring, and trial selection.",Alzheimers Dement (Amst),2025
39960250,The Use of Antihypertensive Medication and In Vivo Alzheimer's Disease Pathology.,"OBJECTIVE: We investigated whether the use of antihypertensive medication (AHM) is associated with in vivo Alzheimer's Disease (AD) pathologies in older adults with hypertension and examined if the effect differs by drug-class and blood-brain barrier (BBB) permeability of the drug.
METHODS: This cross-sectional study recruited participants from the Korean Brain Aging Study for the Early Diagnosis and Prevention of Alzheimer's Disease. Participants comprised both cognitively normal and impaired older adults diagnosed with hypertension (n = 408). All participants underwent comprehensive clinical assessment and [<sup>11</sup>C] Pittsburgh Compound B positron emission tomography (PET) for measurement of cerebral β-amyloid (Aβ) deposition. Additionally, a subset of participants (n = 120) was subjected to [<sup>18</sup>F] AV-1451 PET to assess tau deposition.
RESULTS: The AHM group (n = 227) exhibited significantly lower Aβ deposition (B [SE] = -0.104 [0.037], p = 0.006) compared to the non-AHM group (n = 181), even after controlling for age, sex, apolipoprotein E ε4-positivity, vascular risk factors, and mean arterial blood pressure. Further analysis by AHM class showed an association between the use of renin-angiotensin system inhibitors (RASi) and less Aβ deposition (B [SE] = -0.143[0.049], p = 0.004). No significant relationships were observed between the use of BBB-permeable AHM and Aβ deposition. Additionally, associations between AHM use and tau deposition did not reach statistical significance.
INTERPRETATION: Our findings suggest that AHM use may be associated with lower Aβ burden in older adults with hypertension. Further studies exploring the underlying mechanism, particularly related to RASi, may provide insights into new therapeutic targets for AD. ANN NEUROL 2025.",Ann Neurol,2025
40000636,A single-cell atlas to map sex-specific gene-expression changes in blood upon neurodegeneration.,"The clinical course and treatment of neurodegenerative disease are complicated by immune-system interference and chronic inflammatory processes, which remain incompletely understood. Mapping immune signatures in larger human cohorts through single-cell gene expression profiling supports our understanding of observed peripheral changes in neurodegeneration. Here, we employ single-cell gene expression profiling of over 909k peripheral blood mononuclear cells (PBMCs) from 121 healthy individuals, 48 patients with mild cognitive impairment (MCI), 46 with Parkinson's disease (PD), 27 with Alzheimer's disease (AD), and 15 with both PD and MCI. The dataset is interactively accessible through a freely available website ( https://www.ccb.uni-saarland.de/adrcsc ). In this work, we identify disease-associated changes in blood cell type composition and the gene expression in a sex-specific manner, offering insights into peripheral and solid tissue signatures in AD and PD.",Nat Commun,2025
39810256,Exome sequencing reveals a rare damaging variant in GRIN2C in familial late-onset Alzheimer's disease.,"BACKGROUND: Alzheimer's disease (AD) is a progressive neurodegenerative disorder with both genetic and environmental factors contributing to its pathogenesis. While early-onset AD has well-established genetic determinants, the genetic basis for late-onset AD remains less clear. This study investigates a large Italian family with late-onset autosomal dominant AD, identifying a novel rare missense variant in GRIN2C gene associated with the disease, and evaluates the functional impact of this variant.
METHODS: Affected and unaffected members from a Northern Italian family were included. Genomic DNA from family members was extracted and initially screened for pathogenic mutations in APP, PSEN1, and PSEN2, and screened for 77 genes associated with neurodegenerative conditions using NeuroX array assay. Exome sequencing was performed on three affected individuals and two healthy relatives. Bioinformatics analyses were conducted. Functional analysis was performed using primary neuronal cultures, and the impact of the variant was assessed through immunocytochemistry and electrophysiology.
RESULTS: Pathogenic variants were not identified in APP, PSEN1, or PSEN2, nor in the 77 genes in NeuroX array assay. Exome Sequencing revealed the c.3215C &gt; T p.(A1072V) variant in GRIN2C gene (NM 000835.6), encoding for the glutamate ionotropic receptor N-methyl-D-aspartate receptor (NMDA) type subunit 2C (GluN2C). This variant segregated in 6 available AD patients in the family and was absent in 9 healthy relatives. Primary rat hippocampal neurons overexpressing GluN2C<sup>A1072V</sup> showed an increase in NMDAR-induced currents, suggesting altered glutamatergic transmission. Surface expression assays demonstrated an elevated surface/total ratio of the mutant GluN2C, correlating with the increased NMDAR current. Additionally, immunocytochemistry revealed in neurons expressing the mutant variant a reduced colocalization between the GluN2C subunit and 14-3-3 proteins, which are known to facilitate membrane trafficking of NMDARs.
DISCUSSION: We identified a rare missense variant in GRIN2C associated with late-onset autosomal dominant Alzheimer's disease. These findings highlight the role of GluN2C-containing NMDARs in glutamatergic signaling and their potential contribution to AD pathogenesis.",Alzheimers Res Ther,2025
39775036,Temporal trends in mental health terminology in Alzheimer's disease clinical trials.,"BACKGROUND: Despite several studies having correlated Alzheimer's disease with mental health conditions, the extent to which they have been incorporated into Alzheimer's disease clinical trials remains unclear.
OBJECTIVE: This study aimed to assess the temporal trends in mental health-related terminology in Alzheimer's disease clinical trials as a proxy measure of research interest. Additionally, it sought to determine the effect of the COVID-19 pandemic on the frequency of these terms through pre-pandemic and post-pandemic trend assessment.
METHODS: In this retrospective descriptive analysis, we included 2243 trials with a start date between 1988 and 2022 by searching for the keyword ""Alzheimer Disease"" in the U.S. National Library of Medicine ClinicaTrials.gov database. A Python program was created to extract and count the frequency of four mental health terms (loneliness, depression, anxiety, and distress) by year and trial status (e.g., completed, active, recruiting). Binary logistic regression analyses were conducted to examine the yearly patterns in the appearance of the four mental health terms. A multivariable logistic regression analysis was performed to identify trial characteristics associated with each mental health term.
RESULTS: Our results depicted a statistically significant increasing trend in three (i.e., loneliness, anxiety, distress) of the four mental health conditions by year. A comparison between pre-pandemic and post-pandemic trials showed an increase in the mention of the same three words over time.
INTERPRETATION: These results may suggest a growing awareness of mental health conditions and a greater interest in considering these conditions in Alzheimer's disease trials, particularly after the onset of COVID-19. Future researchers should conduct more in-depth analyses to examine how mental health variables are operationalized in these trials, with consideration for their subsequent success.",PLoS One,2024
40108701,Tau-PET pathology in the subregions of the amygdala and its associations with cognitive performance and neuropsychiatric symptoms in autosomal dominant Alzheimer's disease.,"BACKGROUND: The amygdala plays a role in behavior and emotional response and is vulnerable to Alzheimer's disease (AD) pathology, yet little is known about amygdala tau accumulation before clinical symptom onset. To investigate whether certain amygdala nuclei are particularly vulnerable to degeneration and might underlie early neuropsychiatric symptoms in AD, we aimed to characterize subregional amygdala tau pathology and its correlates associations with established biomarkers of early AD and cognitive-behavioral measures in Presenilin-1 E280A mutation carriers of autosomal dominant AD.
METHODS: Participants included 25 cognitively unimpaired mutation carriers and 37 non-carrier family members from the Colombia-Boston (COLBOS) Biomarker Study. Measures included 18F-flortaucipir, 11C-Pittsburgh compound B, Consortium to Establish a Registry for Alzheimer's Disease Word List Learning, Trail Making Test, Geriatric Depression Scale, and Geriatric Anxiety Inventory. We examined group differences in amygdala tau levels (whole amygdala, lateral nucleus and basal nucleus) and analyzed tau associations with disease markers and clinical measures.
RESULTS: Amygdala tau levels were higher in unimpaired carriers compared to non-carriers. Among carriers, the basal nucleus showed a greater tau burden than the lateral nucleus, and tau accumulation correlated with closer estimated age to clinical onset and increased cortical amyloid. Additionally, tau in both the basal and lateral amygdala was associated with poorer working memory, lower executive function and greater depressive symptoms. However, amygdala tau did not correlate with symptoms of anxiety. Notably, tau levels in the basal amygdala differentiated carriers from non-carriers, with higher predictive accuracy when neuropsychiatric measures were included.
CONCLUSIONS: These findings suggest that in autosomal dominant AD, tau accumulation in the amygdala begins early in the basal nucleus, while both the basal and the lateral nuclei are associated with early cognitive deficits and depressive symptoms. The nuclei's differential vulnerability to pathology underscores the importance of investigating tau spread within amygdala-associated networks, relative to the early clinical manifestations of AD. This study reinforces the potential of amygdala tau burden as a valuable biomarker for preclinical AD.",Alzheimers Res Ther,2025
39846180,Dementia and epilepsy without traumatic brain injury among subjects middle-aged females: a population-based case-control study.,"Background: Although the association between dementia such as Alzheimer's disease and traumatic brain injury (TBI) is well established, there are significant knowledge gaps with respect to the perspective of dementia and epilepsy without TBI. Objective: We aimed to investigate the relationship between dementia and epilepsy in a population-based study of patients without history of TBI. Methods: This study included a random sample of 30,715 patients with no history of TBI, including 6143 with epilepsy as the study cohort and 24,572 without epilepsy as the comparison cohort. Stratified Cox proportional hazard regression was used to calculate the adjusted hazard ratio (HR), with 95% confidence interval, for the risk of developing dementia in the two cohorts. Results: Patients with epilepsy but no history of TBI had increased risk of dementia (adjusted HR = 1.84). For patients aged 55-64 years, the adjusted HR for dementia was 4.5-fold higher among females in the study cohort than among males. Additionally, this study revealed that risk of dementia among above 75-year population lowest than other age subgroups (adjusted HR = 1.45). Conclusions: The study demonstrated an association between dementia and epilepsy in the patients who had no history of TBI. The effect was pronounced in patients aged 55-64 years, especially in the female population, suggesting that epilepsy needs to be more intensively prevented and controlled in this age group.",J Alzheimers Dis,2025
39728026,Unraveling the clinical-pathological correlations of subjects with isolated and mixed neurodegenerative processes in the National Alzheimer's Coordinating Center dataset.,"Although Alzheimer disease neuropathologic change (ADNC) is the most common pathology underlying clinical dementia, the presence of multiple comorbid neuropathologies is increasingly being recognized as a major contributor to the worldwide dementia burden. We analyzed 1051 subjects with specific combinations of isolated and mixed pathologies and conducted multivariate logistic regression analysis on a cohort of 4624 cases with mixed pathologies to systematically explore the independent cognitive contributions of each pathology. Alzheimer disease neuropathologic change and limbic-predominant age-related TDP-43 encephalopathy neuropathologic change (LATE-NC) were both associated with a primary clinical diagnosis of Alzheimer disease (AD) and were characterized by an amnestic dementia phenotype, while only ADNC associated with logopenic variant primary progressive aphasia (PPA). In subjects with ADNC and comorbid LATE-NC, Lewy body disease, and/or cerebrovascular disease, the clinical phenotype was usually diagnosed during life as ""Probable AD."" Conversely, the combination of ADNC with frontotemporal lobar degeneration with TDP-43, progressive supranuclear palsy (PSP), or corticobasal degeneration (CBD) resulted in a mixed clinical picture, with variable features of amnestic dementia, PPA subtypes, behavioral variant FTD, PSP syndrome, and CBD syndrome. These findings elucidate the cumulative effects of mixed pathologies and provide insights into interactions between neurodegenerative pathologies contributing to a variety of clinical dementia presentations.",J Neuropathol Exp Neurol,2025
