term	curie	field	is_phenotype
APOE ε4 carrier	NO_0000059	genotype	True
APOE ε4 non-carrier	NO_0000060	genotype	True
female	PATO_0000383	gender	True
male	PATO_0000384	gender	True
pTau181	NIAGADS_undefined	biomarker	True
memory performance	NIAGADS_undefined	biomarker	True
visuospatial impairment	NIAGADS_undefined	biomarker	True
linguistic error measurement	NIAGADS_undefined	biomarker	True
clusterin	NIAGADS_undefined	biomarker	True
tau	NIAGADS_undefined	biomarker	True
Aβ₄₂	NIAGADS_undefined	biomarker	True
cohort indicators	NIAGADS_undefined	covariates	False
sequencing center	NIAGADS_undefined	covariates	False
gender	NCIT_C17357	covariates	False
population stratification	NIAGADS_undefined	covariates	False
PCA	NIAGADS_undefined	covariates	False
age	NIAGADS_undefined	covariates	False
platform	NIAGADS_undefined	covariates	False
site	NIAGADS_undefined	covariates	False
APOε4 carrier status or allele number	NIAGADS_undefined	covariates	False
country of origin	NIAGADS_undefined	covariates	False
Alzheimer's disease	EFO_1001870	disease	True
Lewy body dementia	EFO_0006792	disease	True
Progressive supranuclear palsy	Orphanet_683	disease	True
psychosis	EFO_0005407	disease	True
dementia	MONDO_0001627	disease	True
Frontotemporal dementia	Orphanet_282	disease	True
Braak Stages	NO_0000025	neuropathology	True
CERAD score	NO_0000026	neuropathology	True
cerebral amyloid angiopathy	EFO_0006790	neuropathology	True
vascular brain injury	EFO_0006791	neuropathology	True
hippocampal sclerosis of aging	EFO_0005678	neuropathology	True
Lewy body	GO_0097413	neuropathology	True
neurofibrillary tangles	HP_0002185	neuropathology	True
neuritic plaques	HP_0100256	neuropathology	True
European	HANCESTRO_0005	race	True
Israeli-Arab	NO_0000061	race	True
Hispanic or Latin American	HANCESTRO_0014	race	True
Japanese	HANCESTRO_0019	race	True
South Asian	HANCESTRO_0006	race	True
African/African American	NO_0000046	race	True
Ad Mixed American	NO_0000043	race	True
African American	HANCESTRO_0568	race	True
East Asian	HANCESTRO_0009	race	True
Asian	HANCESTRO_0008	race	True
Hispanic Or Latino	NCIT:C17459	ethnicity	True
Not Hispanic Or Latino	NCIT:C41222	ethnicity	True
cerebrospinal fluid	UBERON_0001359	biosample	True
blood	UBERON_0000178	biosample	True
GWAS Summary Statistics	NIAGADS_undefined	data_category	False
