category	topic	term
Molecular Pathogenesis and Physiology of Alzheimer’s Disease and Alzheimer's Disease-related Dementias (AD/ADRDs)	Amyloid beta	APP Structure and Function
Molecular Pathogenesis and Physiology of Alzheimer’s Disease and Alzheimer’s Disease-related Dementias (AD/ADRDs)	Amyloid beta	APP Processing
Molecular Pathogenesis and Physiology of Alzheimer’s Disease and Alzheimer’s Disease-related Dementias (AD/ADRDs)	Amyloid beta	APP and Amyloid beta Signaling
Molecular Pathogenesis and Physiology of Alzheimer’s Disease and Alzheimer’s Disease-related Dementias (AD/ADRDs)	Amyloid beta	Secretases
Molecular Pathogenesis and Physiology of Alzheimer’s Disease and Alzheimer’s Disease-related Dementias (AD/ADRDs)	Amyloid beta	Amyloid beta Clearance
Molecular Pathogenesis and Physiology of Alzheimer’s Disease and Alzheimer’s Disease-related Dementias (AD/ADRDs)	Amyloid beta	"Amyloid beta Structure, Assembly, and Aggregation"
Molecular Pathogenesis and Physiology of Alzheimer’s Disease and Alzheimer’s Disease-related Dementias (AD/ADRDs)	Amyloid beta	Amyloid beta-Mediated Pathogenesis
Molecular Pathogenesis and Physiology of Alzheimer’s Disease and Alzheimer’s Disease-related Dementias (AD/ADRDs)	Tau	Normal Functions of Tau
Molecular Pathogenesis and Physiology of Alzheimer’s Disease and Alzheimer’s Disease-related Dementias (AD/ADRDs)	Tau	"Tau Phosphorylation, Metabolism, and Assembly"
Molecular Pathogenesis and Physiology of Alzheimer’s Disease and Alzheimer’s Disease-related Dementias (AD/ADRDs)	Tau	Tau-Mediated Pathogenesis (AD and ADRD)
Molecular Pathogenesis and Physiology of Alzheimer’s Disease and Alzheimer’s Disease-related Dementias (AD/ADRDs)	Presenilin Biology	Structure-Function Analysis
Molecular Pathogenesis and Physiology of Alzheimer’s Disease and Alzheimer’s Disease-related Dementias (AD/ADRDs)	Presenilin Biology	Calcium Signaling
Molecular Pathogenesis and Physiology of Alzheimer’s Disease and Alzheimer’s Disease-related Dementias (AD/ADRDs)	ApoE and Lipid Neurobiology	ApoE in Abeta-Mediated Pathogenesis
Molecular Pathogenesis and Physiology of Alzheimer’s Disease and Alzheimer’s Disease-related Dementias (AD/ADRDs)	ApoE and Lipid Neurobiology	ApoE in Pathogenesis Independent of Abeta
