pmid,title,abstract,journal,year
21056013,Defining optimal treatment with cholinesterase inhibitors in Alzheimer's disease.,"Despite growing recognition that Alzheimer's disease (AD) represents a global public health and social care crisis, diagnosis is frequently slow and many patients still receive no treatment at all. Of those who do receive treatment, many remain on lower than recommended doses. The Alzheimer's disease International Global Charter promotes awareness and understanding of AD, stressing the importance of optimal treatment. However, the definition of ""optimal treatment"" is unclear. Since cholinesterase inhibitors became available nearly 20 years ago, clinicians have developed a variety of protocols on the basis of clinical experiences. This review considers what is optimal for several aspects of cholinesterase inhibitor therapy, taking into account initiation strategies, dosages, modes of drug delivery (e.g., oral vs. transdermal), and treatment durations. Regardless of management approach, individuals with AD, their families, and caregivers have a right to a timely diagnosis and access to best available treatment.",Alzheimers Dement,2010
21149810,Association of higher levels of high-density lipoprotein cholesterol in elderly individuals and lower risk of late-onset Alzheimer disease.,"OBJECTIVE: To reexamine the association of lipid levels with Alzheimer disease (AD) using Cox proportional hazards models.
DESIGN: Prospective cohort study.
SETTING: Northern Manhattan, New York.
PARTICIPANTS: One thousand one hundred thirty elderly individuals free of cognitive impairment at baseline.
MAIN OUTCOME MEASURE: High-density lipoprotein cholesterol (HDL-C) levels.
RESULTS: Higher levels of HDL-C (>55 mg/dL) were associated with a decreased risk of both probable and possible AD and probable AD compared with lower HDL-C levels (hazard ratio, 0.4; 95% confidence interval, 0.2-0.9; P = .03 and hazard ratio, 0.4; 95% confidence interval, 0.2-0.9; P = .03). In addition, higher levels of total and non-HDL-C were associated with a decreased risk of AD in analyses adjusting for age, sex, education, ethnic group, and APOE e4 genotype.
CONCLUSION: High HDL-C levels in elderly individuals may be associated with a decreased risk of AD.",Arch Neurol,2010
20569437,Neuroinflammation in Lyme neuroborreliosis affects amyloid metabolism.,"BACKGROUND: The metabolism of amyloid precursor protein (APP) and beta-amyloid (Abeta) is widely studied in Alzheimer's disease, where Abeta deposition and plaque development are essential components of the pathogenesis. However, the physiological role of amyloid in the adult nervous system remains largely unknown. We have previously found altered cerebral amyloid metabolism in other neuroinflammatory conditions. To further elucidate this, we investigated amyloid metabolism in patients with Lyme neuroborreliosis (LNB).
METHODS: The first part of the study was a cross-sectional cohort study in 61 patients with acute facial palsy (19 with LNB and 42 with idiopathic facial paresis, Bell's palsy) and 22 healthy controls. CSF was analysed for the beta-amyloid peptides Abeta38, Abeta40 and Abeta42, and the amyloid precursor protein (APP) isoforms alpha-sAPP and beta-sAPP. CSF total-tau (T-tau), phosphorylated tau (P-tau) and neurofilament protein (NFL) were measured to monitor neural cell damage. The second part of the study was a prospective cohort-study in 26 LNB patients undergoing consecutive lumbar punctures before and after antibiotic treatment to study time-dependent dynamics of the biomarkers.
RESULTS: In the cross-sectional study, LNB patients had lower levels of CSF alpha-sAPP, beta-sAPP and P-tau, and higher levels of CSF NFL than healthy controls and patients with Bell's palsy. In the prospective study, LNB patients had low levels of CSF alpha-sAPP, beta-sAPP and P-tau at baseline, which all increased towards normal at follow-up.
CONCLUSIONS: Amyloid metabolism is altered in LNB. CSF levels of alpha-sAPP, beta-sAPP and P-tau are decreased in acute infection and increase after treatment. In combination with earlier findings in multiple sclerosis, cerebral SLE and HIV with cerebral engagement, this points to an influence of neuroinflammation on amyloid metabolism.",BMC Neurol,2010
20879366,Simultaneous fine and coarse diffeomorphic registration: application to atrophy measurement in Alzheimer's disease.,"In this paper, we present a fine and coarse approach for the multiscale registration of 3D medical images using Large Deformation Diffeomorphic Metric Mapping (LDDMM). This approach has particularly interesting properties since it estimates large, smooth and invertible optimal deformations having a rich descriptive power for the quantification of temporal changes in the images. First, we show the importance of the smoothing kernel and its influence on the final solution. We then propose a new strategy for the spatial regularization of the deformations, which uses simultaneously fine and coarse smoothing kernels. We have evaluated the approach on both 2D synthetic images as well as on 3D MR longitudinal images out of the Alzheimer's Disease Neuroimaging Initiative (ADNI) study. Results highlight the regularizing properties of our approach for the registration of complex shapes. More importantly, the results also demonstrate its ability to measure shape variations at several scales simultaneously while keeping the desirable properties of LDDMM. This opens new perspectives for clinical applications.",Med Image Comput Comput Assist Interv,2010
21193246,"Duplication of amyloid precursor protein (APP), but not prion protein (PRNP) gene is a significant cause of early onset dementia in a large UK series.","Amyloid precursor protein gene (APP) duplications have been identified in screens of selected probands with early onset familial Alzheimer's disease (FAD). A causal role for copy number variation (CNV) in the prion protein gene (PRNP) in prion dementias is not known. We aimed to determine the prevalence of copy number variation in APP and PRNP in a large referral series, test a screening method for detection of the same, and expand knowledge of clinical phenotype. We used a 3-tiered screening assay for APP and PRNP duplication (exonic real-time quantitative polymerase chain reaction [exon-qPCR], fluorescent microsatellite quantitative PCR [fm-q-PCR], and Illumina array [Illumina Inc., San Diego, CA, USA]) for analysis of a heterogeneous referral series comprising 1531 probands. Five of 1531 probands screened showed APP duplication, a similar prevalence to APP missense mutation. Real-time quantitative PCR and fluorescent microsatellite quantitative PCR were similar individually but are theoretically complementary; we used Illumina arrays as our reference assay. Two of 5 probands were from an autosomal dominant early onset Alzheimer's disease (familial Alzheimer's disease) pedigree. One extensive, noncontiguous duplication on chromosome 21 was consistent with an unbalanced translocation not including the Down's syndrome critical region. Seizures were prominent in the other typical APP duplications. A range of imaging, neuropsychological, cerebrospinal fluid, and pathological findings are reported that extend the known phenotype. APP but not PRNP duplication is a significant cause of early onset dementia in the UK. The recognized phenotype may be expanded to include the possibility of early seizures and apparently sporadic disease which, in part, may be due to different mutational mechanisms. The pros and cons of our screening method are discussed.",Neurobiol Aging,2010
20980669,Hippocampal atrophy rates and CSF biomarkers in elderly APOE2 normal subjects.,"OBJECTIVE: To determine whether elderly normal APOE E2 (APOE2) carriers exhibit slower rates of hippocampal atrophy and memory decline compared to APOE3/3 carriers. We also determined whether APOE2 carriers have less Alzheimer pathology as reflected by CSF biomarkers.
METHODS: We included longitudinal data from 134 cognitively normal individuals (27 APOE2/2 or E2/3, 107 APOE3/3) from the Alzheimer's Disease Neuroimaging Initiative, a prospective cohort study. A linear mixed-effects model was used to determine how APOE2 affected rates of hippocampal atrophy and cognitive change over time. In a subsample of 72 individuals who also underwent CSF analysis, an ordinary least-squares regression was used to determine whether CSF β-amyloid (Aβ), total tau, and phosphorylated tau-181 (p-tau) differed by APOE2 status.
RESULTS: APOE2 carriers demonstrated slower rates of hippocampal atrophy (p = 0.004). The mean rate of hippocampal atrophy among APOE2 carriers was -33 mm(3)/year (95% confidence interval -65 to +0.4), or -0.5%/year, compared to -86 mm(3)/year (95% confidence interval -102 to -71), or -1.3%/year, in the APOE3/3 group. No differences in the rates of episodic memory (p = 0.23) or overall cognitive change (p = 0.90) were detected. In the CSF subsample, APOE2 carriers had higher levels of CSF Aβ (p = 0.01), lower p-tau (p = 0.02), and marginally lower tau (p = 0.12).
CONCLUSION: A slower rate of hippocampal atrophy in normal APOE2 carriers is consistent with the lower risk of Alzheimer disease in these individuals. We hypothesize that the slower atrophy rate is related to decreased preclinical Alzheimer pathology.",Neurology,2010
20592257,Comparing predictors of conversion and decline in mild cognitive impairment.,"OBJECTIVE: A variety of measurements have been individually linked to decline in mild cognitive impairment (MCI), but the identification of optimal markers for predicting disease progression remains unresolved. The goal of this study was to evaluate the prognostic ability of genetic, CSF, neuroimaging, and cognitive measurements obtained in the same participants.
METHODS: APOE epsilon4 allele frequency, CSF proteins (Abeta(1-42), total tau, hyperphosphorylated tau [p-tau(181p)]), glucose metabolism (FDG-PET), hippocampal volume, and episodic memory performance were evaluated at baseline in patients with amnestic MCI (n = 85), using data from a large multisite study (Alzheimer's Disease Neuroimaging Initiative). Patients were classified as normal or abnormal on each predictor variable based on externally derived cutoffs, and then variables were evaluated as predictors of subsequent conversion to Alzheimer disease (AD) and cognitive decline (Alzheimer's Disease Assessment Scale-Cognitive Subscale) during a variable follow-up period (1.9 +/- 0.4 years).
RESULTS: Patients with MCI converted to AD at an annual rate of 17.2%. Subjects with MCI who had abnormal results on both FDG-PET and episodic memory were 11.7 times more likely to convert to AD than subjects who had normal results on both measures (p <or= 0.02). In addition, the CSF ratio p-tau(181p)/Abeta(1-42) (beta = 1.10 +/- 0.53; p = 0.04) and, marginally, FDG-PET predicted cognitive decline.
CONCLUSIONS: Baseline FDG-PET and episodic memory predict conversion to AD, whereas p-tau(181p)/Abeta(1-42) and, marginally, FDG-PET predict longitudinal cognitive decline. Complementary information provided by these biomarkers may aid in future selection of patients for clinical trials or identification of patients likely to benefit from a therapeutic intervention.",Neurology,2010
20938031,Hippocampal CA1 apical neuropil atrophy in mild Alzheimer disease visualized with 7-T MRI.,"OBJECTIVES: In Alzheimer disease (AD), mounting evidence points to a greater role for synaptic loss than neuronal loss. Supporting this notion, multiple postmortem studies have demonstrated that the hippocampal CA1 apical neuropil is one of the earliest sites of pathology, exhibiting tau aggregates and then atrophy before there is substantial loss of the CA1 pyramidal neurons themselves. In this cross-sectional study, we tested whether tissue loss in the CA1 apical neuropil layer can be observed in vivo in patients with mild AD.
METHODS: We performed ultra-high-field 7-T MRI on subjects with mild AD (n = 14) and age-matched normal controls (n = 16). With a 2-dimensional T2*-weighted gradient-recalled echo sequence that was easily tolerated by subjects, we obtained cross-sectional slices of the hippocampus at an in-plane resolution of 195 μm.
RESULTS: On images revealing the anatomic landmarks of hippocampal subfields and strata, we observed thinning of the CA1 apical neuropil in subjects with mild AD compared to controls. By contrast, the 2 groups exhibited no difference in the thickness of the CA1 cell body layer or of the entire CA1 subfield. Hippocampal volume, measured on a conventional T1-weighted sequence obtained at 3T, also did not differentiate these patients with mild AD from controls.
CONCLUSIONS: CA1 apical neuropil atrophy is apparent in patients with mild AD. With its superior spatial resolution, 7-T MRI permits in vivo analysis of a very focal, early site of AD pathology.",Neurology,2010
20603481,Temporal course of depressive symptoms during the development of Alzheimer disease.,"OBJECTIVE: To characterize change in depressive symptoms before and after the onset of dementia in Alzheimer disease (AD).
METHOD: We used data from the Chicago Health and Aging Project, a longitudinal cohort study of risk factors for AD in a geographically defined population of old people. Two subsets were analyzed. In 357 individuals who developed incident AD during the study, self-report of depressive symptoms (Center for Epidemiologic Studies Depression Scale) was obtained at 3-year intervals for a mean of 8 to 9 years. In 340 individuals who agreed to annual data collection, informant report of depressive symptoms (Hamilton Depression Rating Scale) was obtained for a mean of 3 years after a diagnosis of AD (n = 107), mild cognitive impairment (n = 81), or no cognitive impairment (n = 152).
RESULTS: The incident AD group reported a barely perceptible increase in depressive symptoms during 6 to 7 years of observation before the diagnosis (0.04 symptoms per year) and no change during 2 to 3 years of observation after the diagnosis except for a slight decrease in positive affect. In those with annual follow-up, neither AD nor its precursor, mild cognitive impairment, was associated with change in informant report of depressive symptoms during a mean of 3 years of observation.
CONCLUSION: Depressive symptoms show little change during the development and progression of AD to a moderate level of dementia severity.",Neurology,2010
20713948,Multimodal predictors for Alzheimer disease in nonfluent primary progressive aphasia.,"OBJECTIVE: Alzheimer disease (AD) and frontotemporal lobar degeneration (FTLD) are hypothesized to cause clinically distinct forms of primary progressive aphasia (PPA) that predominantly affect expressive speech. AD is thought to cause logopenic progressive aphasia (LPA), and FTLD may cause progressive nonfluent aphasia (PNFA). We sought to determine the value of clinical characterization, neuropsychological analysis, and MRI atrophy in predicting pathology of LPA and PNFA.
METHODS: Patients with LPA (n = 19) and patients with PNFA (n = 19) were evaluated with neuropsychological assessments, structural MRI, CSF analysis, and neuropathologic examination.
RESULTS: Twelve of 19 patients with LPA (63%) and 6 of 19 patients with PNFA (32%) had neuropathologic findings or CSF biomarkers consistent with AD. Neuropsychological testing showed that naming was more impaired in patients with AD, and letter-guided fluency was more affected in patients with a non-AD disorder. Voxel-based morphometry analysis revealed that in patients with AD, patients with LPA and PNFA had significant posterior-superior temporal atrophy; in patients with non-AD, patients with LPA had peri-Sylvian atrophy and patients with PNFA had dorsolateral prefrontal and insular atrophy. Receiver operator characteristic curve analysis showed that combining neuropsychological testing with MRI atrophy pattern had 90% specificity for pathology or CSF biomarkers consistent with AD, and combining clinical features with neuropsychological analysis had 100% sensitivity for pathology or CSF biomarkers consistent with AD.
CONCLUSIONS: Neither PPA phenotyping nor imaging alone is a reliable predictor of pathology. Multimodal predictors, such as combining neuropsychological testing with MRI analysis, can improve noninvasive prediction of underlying pathology in nonfluent forms of PPA.",Neurology,2010
