PMID,article_title
20451875,"Alzheimer's Disease Neuroimaging Initiative biomarkers as quantitative phenotypes: Genetics core aims, progress, and plans."
20463288,Longitudinal fMRI in elderly reveals loss of hippocampal activation with clinical decline.
20620664,Longitudinal MRI atrophy biomarkers: relationship to conversion in the ADNI cohort.
20625166,"Head circumference, atrophy, and cognition: implications for brain reserve in Alzheimer disease."
20697030,"Meta-analysis confirms CR1, CLU, and PICALM as alzheimer disease risk loci and reveals interactions with APOE genotypes."
20805524,Change in risk of Alzheimer disease over time.
20811000,Nonsteroidal anti-inflammatory drugs are associated with increased neuritic plaques.
20876472,"A comprehensive analysis of deletions, multiplications, and copy number variations in PARK2."
20879451,Sparse bayesian learning for identifying imaging biomarkers in AD prediction.
20932310,Genome-wide association reveals genetic effects on human Aβ42 and τ protein levels in cerebrospinal fluids: a case control study.
21123754,"Genome-wide association study of CSF biomarkers Abeta1-42, t-tau, and p-tau181p in the ADNI cohort."
21312009,Power and pitfalls of the genome-wide association study approach to identify genes for Alzheimer's disease.
21460841,"Common variants at MS4A4/MS4A6E, CD2AP, CD33 and EPHA1 are associated with late-onset Alzheimer's disease."
21660214,Genomic Copy Number Analysis in Alzheimer's Disease and Mild Cognitive Impairment: An ADNI Study.
21867750,Selective changes in white matter integrity in MCI and older adults with cognitive complaints.
21901424,Amyloid pathway-based candidate gene analysis of [(11)C]PiB-PET in the Alzheimer's Disease Neuroimaging Initiative (ADNI) cohort.
22245343,A large scale multivariate parallel ICA method reveals novel imaging-genetic relationships for Alzheimer's disease in the ADNI cohort.
22343898,The microRNA miR-34 modulates ageing and neurodegeneration in Drosophila.
22431837,Antioxidants for Alzheimer disease: a randomized clinical trial with cerebrospinal fluid biomarker measures.
22480918,"Pathway analysis of genomic data: concepts, methods, and prospects for future development."
22486522,Analysis of copy number variation in Alzheimer's disease: the NIALOAD/ NCRAD Family Study.
22539578,"Genotype patterns at PICALM, CR1, BIN1, CLU, and APOE genes are associated with episodic memory."
22556362,Evidence for a role of the rare p.A152T variant in MAPT in increasing the risk for FTD-spectrum and Alzheimer's diseases.
22618995,The genetics and neuropathology of Alzheimer's disease.
22673115,Identification of Alzheimer disease-associated variants in genes that regulate retromer function.
22685416,Brain expression genome-wide association study (eGWAS) identifies human disease-associated variants.
22722634,Novel late-onset Alzheimer disease loci variants associate with brain gene expression.
22821396,Cerebrospinal fluid APOE levels: an endophenotype for genetic studies for Alzheimer's disease.
22869155,Comprehensive search for Alzheimer disease susceptibility loci in the APOE region.
22903471,Genome-wide association identifies genetic variants associated with lentiform nucleus volume in N = 1345 young and elderly subjects.
23022416,Effect of complement CR1 on brain amyloid burden during aging and its modification by APOE genotype.
23082127,An integrated approach for identifying wrongly labelled samples when performing classification in microarray data.
23084085,"Visual contrast sensitivity in Alzheimer's disease, mild cognitive impairment, and older adults with cognitive complaints."
23107433,Repeat expansions in the C9ORF72 gene contribute to Alzheimer's disease in Caucasians.
23143602,Common genetic variants in the CLDN2 and PRSS1-PRSS2 loci alter risk for alcohol-related and sporadic pancreatitis.
23227193,Analysis of copy number variation in Alzheimer's disease in a cohort of clinically characterized and neuropathologically verified individuals.
23253778,Frontolimbic atrophy is associated with agitation and aggression in mild cognitive impairment and Alzheimer's disease.
23360175,Initial assessment of the pathogenic mechanisms of the recently identified Alzheimer risk Loci.
23525463,High-throughput identification of long-range regulatory elements and their target promoters in the human genome.
23535033,Genome-wide association study of the rate of cognitive decline in Alzheimer's disease.
23541187,Association of plasma and cortical amyloid beta is modulated by APOE ε4 status.
23562540,GWAS of cerebrospinal fluid tau levels identifies risk variants for Alzheimer's disease.
23565137,"SORL1 is genetically associated with late-onset Alzheimer's disease in Japanese, Koreans and Caucasians."
23571587,"Variants in the ATP-binding cassette transporter (ABCA7), apolipoprotein E ϵ4,and the risk of late-onset Alzheimer disease in African Americans."
23602309,Subscale validation of the neuropsychiatric inventory questionnaire: comparison of Alzheimer's disease neuroimaging initiative and national Alzheimer's coordinating center cohorts.
23673467,Independent and epistatic effects of variants in VPS10-d receptors on Alzheimer disease risk and processing of the amyloid precursor protein (APP).
23700308,CoRAL: predicting non-coding RNAs from small RNA-sequencing data.
23727082,Parkinsonism and distinct dementia patterns in a family with the MAPT R406W mutation.
23759147,Exceptional memory performance in the Long Life Family Study.
23779081,Food for thought.
23845100,C9ORF72 intermediate repeat copies are a significant risk factor for Parkinson disease.
23894628,Influence of genetic variation on plasma protein levels in older adults using a multi-analyte panel.
23943636,DRAW+SneakPeek: analysis workflow and quality metric management for DNA-seq experiments.
24086677,Characterizing the role of brain derived neurotrophic factor genetic variation in Alzheimer's disease neurodegeneration.
24098339,Analysis of nonlinear gene expression progression reveals extensive pathway and age-specific transitions in aging human brains.
24131184,TREM2 and neurodegenerative disease.
24145223,Using machine learning and high-throughput RNA sequencing to classify the precursors of small non-coding RNAs.
24149843,HAMR: high-throughput annotation of modified ribonucleotides.
24162737,"Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease."
24244562,Alzheimer's disease: analyzing the missing heritability.
